serial,question,option1,option2,option3,option4,correct,subject
235,Theÿ 5ÿthÿ termÿÿ andÿ 21ÿstÿ termÿ ofÿ aÿ seriesÿ inÿ A.Pÿ areÿ 10ÿ andÿ 42ÿ respectively.ÿÿ Findÿ theÿ 31 stÿ term.,50,55,65,62ÿÿ ÿÿÿÿÿÿÿÿÿ,d,quants
236,"Theÿ averageÿ ofÿ 2,7,6 andÿ xÿ isÿ 5ÿÿ andÿ theÿ averageÿ ofÿ 18,1,6,xÿ andÿ yÿ is 10.ÿ Whatÿ isÿ theÿvalueÿ ofÿ y?",5,ÿÿÿ 10,ÿÿÿ  20,ÿÿÿ  30ÿÿÿÿÿÿÿÿÿÿÿ,c,quants
237,Theÿ sumÿ ofÿ theÿ firstÿ fiveÿ termsÿ ofÿ aÿ G.P isÿ 363.ÿ Ifÿ theÿ commonÿ ratioÿ isÿ 1/3ÿ findÿ theÿ firstÿ term.,323,243,232,332,b,quants
238,"Pointing to Manju, Raju said, ?The son of her only brother is the brother of my wife?. How is Manju related to Raju?",Mother?s sister,Grandmother,Mother-in-law,Sister of father-in-law,d,reasoning
239,"A bag contains 2 yellow balls, 3 white balls and 5 red balls. In how many ways can two balls be drawn from the bag?",2C2,10C2,8C2,5C2,b,quants
240,The average of 5 quantities is 6. The average of 3 of them is 8. What is the average of the remaining two numbers?,6.5,4,3,3.5,c,quants
241,How many different words can be formed from the word DAUGHTER so that ending and beginning letters are consonants?,7200,14400,360,1440,b,quants
242,"By walking at 3/4th of his usual speed, a man reaches office 20 minutes later than usual. What is his usual time?",30 min ÿÿÿÿÿÿÿÿÿÿÿ, 60 min ÿÿÿÿÿ, 70 min ÿÿÿÿÿ,50 min,b,quants
243,Some ladies can do a piece of work in 12 days. Two times the number of such ladies will do half of that work in :,6 daysÿÿÿÿÿÿÿÿÿ ,4 daysÿÿÿÿÿÿÿÿ ,12 days ÿÿÿÿÿÿÿ , 3 days,d,quants
244,"How many ways can 10 letters be posted in 5 post boxes, if each of the post boxes can take more than 10 letters?",510ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,105ÿÿÿÿÿÿÿÿÿÿÿ,10P5ÿ,10C5,a,quants
245,"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",200 m,225 m,245 m,250 m,c,quants
246, 3 workers transfer a tool weighing 120kg in 12 seconds. How many men are required to transfer it in 9 seconds?,4,5,6,8,a,quants
247,If apples are bought at the rate of 30 for a rupee. How manyapples must be sold for a rupee so as to gain 20%?,28,25,20,22,b,quants
248,"5b2 is a three-digit number with b as a missing digit. If the number is divisible by 6, the missing digit is:",2,3,6,7,a,quants
249, If A is thrice as fast as B and together can do a work in 21 days. In how many days A alone can do the work?,36,42,28,54,c,quants
250, The average of 5 quantities is 10 and the average of 3 of them is 9. What is the average of the remaining 2?,11ÿÿÿÿÿÿ, 12ÿÿÿÿÿÿÿÿÿÿÿÿ, 11.5ÿÿÿÿÿÿÿÿÿÿ,12.5,c,quants
251, A sum of money becomes triple itself in 16 years. In how many years will it become 5 times at the same rate?,32,15,27,30,a,quants
252,In how many ways can a committee consisting of 4 men and 5 women be formed from a group of 7 men and 9 women?,7C4ÿÿ9C5,4C7ÿÿ5C9,7C5 ÿ9C4,ÿ9C4ÿÿ7C5,a,quants
253,"A, B, C hired a car for Rs. 720 and used it for 9, 10 and 13 hours respectively. Hire charges paid by B are:",Rs 220,Rs.225, Rs.230, Rs.235,b,quants
254,ÿMr.Ramu?s mother?s father-in-law?s only son?s only daughter?s son is Chetan. How is Ramu related to Chetan?,Uncle,Nephew,Niece,Father,a,reasoning
255,In how many ways can 15 people be seated around two round tables with seating capacities of 7 and 8 people?,15!*(8!)ÿÿÿÿÿÿÿÿÿÿÿÿ,7!*8!ÿÿÿÿÿÿÿÿÿÿÿÿ, (15C8)*6!*7!ÿÿÿÿÿÿÿÿÿÿÿÿ,2*(15C7)*6!*7!,c,quants
256,"The greatest possible length which can be used to measure exactly the lengths 7 m, 3 m 85 cm, 12 m 95 cm is",15 cm,25 cm,35 cm,42 cm,c,quants
257," Rajiv sold an article for Rs.56 which cost him Rs.x. If he hadgained x% on his outlay, what was his cost?",Rs. 40, Rs.45, Rs. 36,Rs. 28,a,quants
258,"What is the value of 1*1! + 2*2! + 3!*3! + ............ n*n!, where n! means n factorial or n(n-A(n-2)...1",n(n-A(n-A!))ÿÿÿÿ, (n+A!)*(n(n-A))ÿÿÿÿÿ, (n+A! - n!)ÿ , (n + A! - 1!),d,quants
259,"The H.C.F. of two numbers is 11 and their L.C.M. is 7700. If one of the numbers is 275, then the other is:",279,283,308,318,c,quants
260," The sum of three prime numbers is 100. If one of them exceeds another by 36, then one of the numbers is:",7,29,41,67,d,quants
261,"If 4 (A?s capital) = 6 (B?s capital) = 10 (C?s capital), then out of a profit of Rs.4650, C will receive:",Rs.2250,Rs.1550,Rs.900,Rs.465,c,quants
262,"By how many degrees does the minute hand move in the same time, in which the hour hand move by 18 degree?",168 degree,216 degree,196 degree,276 degree,b,reasoning
263,The largest natural number which exactly divides the product of any four consecutive natural numbers is:,6,12,24,120,c,quants
264,In how many ways can 5 boys and 3 girls sit around a table in such a way that no two girls sit together?,1000,1400,1440,1800,c,quants
265,"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.",4,7,9,13,a,quants
266,"The least number which should be added to 2497 so that the sum is exactly divisible by 5, 6, 4 and 3 is:",3,13,23,33,c,quants
267,A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,120 metres,180 metres,324 metres,150 metres,d,quants
268,A train 575 m long crosses a tunnelÿ of length 325ÿ in 90 sec. What is the speed of the train in kmph.,28ÿ,32ÿ,36ÿ,24ÿ,c,quants
269,"If athulÿ rows 16 km upstream and 24 km down steamÿ taking 4 hours each, then the speed of the stream",1kmph,2kmphÿ,1.5 kmphÿÿÿÿÿ ,12 kmph,a,quants
270,"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:",101,107,111,185,c,quants
271,"By how many degrees does the minute hand move in the same time, in which the hour hand move by 280 ?ÿ",168,336,196,376,b,reasoning
272,A train 360 m long is running at a speed of 45 km/hr. In what time will it pass a bridge 140 m long?,40 sec,42 sec,45 sec,48 sec,a,quants
273,A letter lock has 3 rings each containing 6 letters. How many such three letter passwords can exist?,216,26C6ÿ*3,(26C6)3, (26C6)3ÿ*63,d,quants
274,"In the time in which the second hand covers 3960 degrees, how many degrees does  the hour hand move?",11,5.5,3 by 4,55,b,reasoning
275,A train 240 m long passes a pole in 24 seconds. How long will it take to pass a platform 650 m long,65 sec,89 sec,100 sec,150 sec,b,quants
276,"X, Y and Z contract a work for Rs. 1100. X and Y together are to do 7 /11of the work. C?s share is:", Rs.366.6,Rs.400, Rs.600,Rs.800,b,quants
277,"If the speed of a man is 45 km per hour, then what is the distance traveled by him in 30 seconds ?",275m,360mÿ,375 m,420 m,c,quants
278,"The least number, which when divided by 12, 15, 20 and 54 leaves in each case a remainder of 8 is:",504,536,544,548,d,quants
279,What is the angle between the two hands of a clock when the time shown by the clock is 6.30 p.m. ?, 00ÿÿÿÿÿÿÿÿÿÿÿÿ,50ÿÿÿÿÿÿÿÿÿÿÿ,30ÿÿÿÿÿÿÿÿÿÿÿ,150,d,reasoning
280," How many degrees will the minute hand move, in the same time in which the second hand move 4800 ?",60,90,40,80,d,reasoning
281,"A watch shows 4.30. If the minute hand points to east, in what direction will the hour hand point?",North-west,South-east,North-east,North,c,reasoning
282,Two numbers are respectively 20% and 50% more than a third number.The ratio of the two numbers is,2 : 5ÿÿÿÿ,3 : 5ÿÿÿÿ,4 : 5ÿÿÿÿ,06:07,c,quants
283,"What will be the least number which when doubled will be exactly divisible by 12, 18, 21 and 30 ?",196,630,1260,2520,b ,quants
284,"How many of the following numbers are divisible by 132?264, 396, 462, 792, 968, 2178, 5184, 6336",4,5,6,7,a,quants
285, The sum of three consecutive odd numbers is always divisible by  I. 2ÿÿ II. 3ÿÿÿÿIII. 5ÿÿ IV. 6,only 1,only 2,only  1 and 2,only 2 and 4,b,quants
286, At what rate of compound interest per annum will a sum of Rs.1200 become Rs.1348.32 in 2 years?, 6%ÿÿ ÿÿÿÿÿÿÿÿÿÿÿ ÿÿ ,6.50%,7%ÿ,7.50%,a,quants
287,How many number of times will the digit '7' be written when listing the integers from 1 to 1000?,271ÿÿÿÿ,300ÿÿÿÿÿÿÿÿÿÿÿÿ,252ÿÿÿÿÿÿÿÿÿÿÿ,304,b,quants
288,ÿWhat is the angle between the two hands of a clock when the time shown by the clock is 5:30 pm?,00ÿ,50ÿÿÿÿ,30ÿÿ,ÿÿÿÿÿÿÿ   ÿ 150,d,reasoning
289,"How many ways can 4 prizes be given away to 3 boys, if each boy is eligible for all the prizes?",256ÿÿÿÿ,12ÿÿÿÿÿÿÿÿÿÿÿÿ,81ÿÿÿÿÿÿÿÿÿÿÿÿ,None of these,c,quants
290,"The greatest number which on dividing 1657 and 2037 leaves remainders 6 and 5 respectively, is:",123,127,235,305,b,quants
291,The L.C.M. of two numbers is 48. The numbers are in the ratio 2 : 3. Then sum of the number is:,28,32,40,64,c,quants
292,.    The difference between the local value and face value of 7 in the      numeral 657903 is:,0,7896,6993,903,c,quants
293, Addingÿ 20%ÿ ofÿ xÿ toÿ xÿ isÿ equivalentÿ toÿ multiplyingÿ xÿ byÿ whichÿ ofÿ theÿ following?,12.5,ÿ1.05,1.15,1.2,d,quants
294,What is the probability of getting at least one six in a single throw of three unbiasedÿdice?,1 by 6,125/216ÿÿÿÿÿÿÿ ,1 by 36,91/216,d,quants
295,". 2012 January 1st is Sunday, then which day is the Indian Independence day of the same year.",ÿSaturdayÿÿÿÿÿÿÿÿÿÿÿ,Wednesdayÿÿÿÿÿÿÿÿÿÿÿ, Thursdayÿÿÿÿÿÿÿÿÿÿÿ,Friday,b,reasoning
296,"Find the greatest number of five digits, which is exactly divisible by 7, 10, 15, 21 and 28.",99840,99900ÿ,99960ÿ,99990,c,quants
297,"Out of 6 consonants and 3 vowels, how many words of 4 consonants and 2 vowels can be formed?",1050,25200,32400,5800,c,quants
298,How many numbers are there between 100 and 1000 such that at least one of their digits is 6?,648ÿÿÿÿ,258ÿÿÿÿÿÿÿÿÿÿÿ,654ÿÿÿÿÿÿÿÿÿÿÿÿ,252,d,quants
299,"If x is an integer, find the minimum value of x such that 0.00001154111 x 10 ^xexceeds 1000.",8,1,7,6,a,quants
300," The least number by which 72 must be multiplied in order to produce a multiple of 112, is:",6,12,14,8,c,quants
301,"The least multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15 and 18 is:",74,94,184,364,d,quants
302,A is the husband of B. E is the daughter of C. A is the father of C. How is B related to E?,Mother,Grandmother,Aunt,Cousin,b,reasoning
303,The least number which must be subtracted from 6709 to make it exactlyÿ divisible by 9 is:,2,3,4,5,c,quants
304," On dividing a number by 999, the quotient is 366 and the remainder is 103. The number is:",364724ÿ,365387ÿ,365737ÿ,366757,c,quants
305," If 96 is divided intoÿ four parts proportional toÿ 5, 7, 4, 8 then the smallest part is :",16ÿÿ,14ÿÿ,20ÿ,18,a,quants
306,"The compound interest on Rs.30,000 at 7% per annum is Rs. 4347. The period (in years) is:", 2 ÿÿÿÿ ÿÿÿÿÿÿÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,6,3,4,a,quants
307,The Price of 357 apples is Rs.2499. What will be theÿ price of 49 dozens of such apples?,Rs.3800 ÿÿÿÿÿ ,Rs.2816ÿÿÿÿÿÿ ,Rs.4116ÿÿÿÿÿÿÿ ,Rs.3116,c,quants
308,Findÿ theÿ averageÿ ofÿ allÿ the numbersÿ betweenÿ 6 and 34ÿ whichÿ areÿ divisibleÿ by 5,18,20ÿ,24,30ÿÿ,b,quants
309," If (a ? b) is 9 more than (c + d) and (a + b) is 3 less than (c ? d), then (a ? c) is:",6,2,3,None of these,c,quants
310,The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,1,2,3,4,b,quants
311,"The smallest number which when diminished by 7, is divisible 12, 16, 18, 21 and 28 is:",1008,1015,1022,1032,b,quants
312,Three number are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:,40,80,120,200,a,quants
313,"If 0.4 of a number is equal to 0.06 of another number, the ratio of the numbers is :",2 :3ÿÿÿÿÿ ,3 :4ÿ ÿÿ,3:20ÿÿÿÿÿÿÿÿÿÿ ,20:03,c,quants
314," If ?+?means ?ö?,ömeans ?x? ,?x? meansÿ ?-? and ?-? means ?+? ,then 10+2ö5-3ö4+2-1=?",32,50,45,120,a,reasoning
315,Theÿ averageÿ ofÿ 7 consecutive numbers is 20. The largestÿ ofÿ theseÿ numbersÿ is,20,ÿÿÿ 22,ÿÿÿ  23,ÿÿÿ 24ÿÿÿÿÿÿÿ,c,quants
316,H.C.F. of two numbers is 16. Which one of the following can never be their L.C.M,32,80,64,60,d,quants
317,The value of 40 coins of 10 p and 20 p is Rs. 5.50. The number of 20 p coins is,15,25, 30ÿÿ,35,a,quants
318,March 1stÿ is Wednesday. Which month of the same year starts with the same day?,"october
",November,December,None of these,b,reasoning
319,"The greatest number of four digits which is divisible by 15, 25, 40 and 75 is:",9000,9400,9600,9800,c,quants
320,How is Radha?s mother?s mother?s daughter-in-law?s daughter related to Radha?,Sister,Mother,Cousin,Aunt,c,reasoning
321,"If A means ?-?,B means ?ö?,C means ?+?,and D means ?x?,then 15B3C24A12D2 =?",2,5by 9,34,5,d,reasoning
322,"Ifÿ today is Thursday , after 730 days which will be the day of the week ?",Thursday,Friday,Saturday,Monday,c,reasoning
323,The ratio of two numbers is 3 : 4 and their H.C.F. is 4. Their L.C.M. is:,12,16,24,48,d,quants
324,"If ?W? means ö,X means ?+?,Y means ?-? and Z means ?x? then 28Z3Y4x12W6=?",27,82,39,53,b,reasoning
325,What is the remainder when 9^1+ 9^2 + 9^3 + .... + 9^8 is divided by 6?,3,2,0,5,c,quants
326,"In how many ways can the letters of the word, ?TECHNOLOGY? be arranged?",1804400,1814400,1714400,1704400,b,quants
327,In how many ways can a team 16 be chosen out of a batch of 20 players?,4845,6852,3125,5846,a,quants
328,There are 12 yes or no questions. How many ways can these be answered?,1024ÿÿ,2048ÿÿÿÿÿÿÿÿÿÿÿÿ,4096ÿÿ,144,c,quants
329,How many pieces of 0.85 metres can be cut from a rod 42.5 metres long?,30,40,60, None of these,d,quants
330,"Findÿ theÿ sumÿ ofÿÿ theÿfollowingseries,1,4/5,16/25,64/125ÿ?????..",10,6,9,5,d,quants
331,Findÿ theÿ sumÿ ofÿ allÿ 2ÿ digitÿ numbersÿ divisibleÿ byÿ 3.,2000,1665,1300,1448ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
332,. A boy runs 200 metresÿ in 24 seconds. What is his speed ?,20 km/hr, 24 km/hr, 28.5 km/hr,30 km/hr,d,quants
333,How many years have 29 days in February from 2001 to 2100.,26ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,25ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,23ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,24,d,reasoning
334,"ÿIn the series 5, 10, 20, 40,?.what will be the 10thÿterm?",1280,ÿ2560,1820,ÿ2650,b,reasoning
335," If a * b = 2a ? 3b + ab, then 5 * 7 + 7 * 5 is equal to:",33ÿÿÿÿÿÿÿÿÿÿ,36,34,38,c,quants
336,16 (81) 25ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ 49 (169) 36ÿÿÿÿÿÿÿÿ 64 ( ? ) 4,121,84,81,100,d,reasoning
337,The hexa decimal equivalent of the decimal number 128 is,128,175,80,81,c,quants
338,The decimal number 1356 expressed in octal system equals,2514,125,353,235,a,quants
339,The sum of the first 100 natural numbers is divisible by,"2, 4 and 8",2 and 4,2 only,None of these,c,quants
340,"The value of P, when 4864 x 9P2 is divisible by 12, is:",2,5,8,None of these,d,quants
341,If A : Bÿ = 4 : 7 and B : C = 5 : 9 then A : B : C is :,  20 : 35 : 63ÿÿÿ ÿÿÿÿÿÿÿ , 35 : 36 : 63ÿ,30 : 35 : 65,25 :34: 68,a,quants
342,Which of the following has the most number of divisors?,99,101,176,182,c,quants
343,"What will be the day of the week on 1stÿJanuary, 2010 ?",Friday,Saturday,Sunday,monday,c,reasoning
344,"Ifÿ m : nÿ = 3 : 4 and n : oÿ = 8 : 9, then m : o is :",1 :3ÿÿÿÿÿÿÿÿÿÿ ,3 :2ÿ ,2 : 3ÿ ,01:02,c,quants
345,"Howÿ manyÿÿ termsÿ areÿ thereÿ inÿ 2,4,8,16,???..1024?",10,6,9,8ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
346,The decimal fraction 0.75 in the binary system equals,0.11 ÿ ÿ ÿ ÿ ,0,0.1,0.111,a,quants
347,"If 15% of A is the same as 20% of B, then A : Bÿ is :",3 : 4ÿÿÿÿ  ÿÿÿÿÿÿÿÿÿÿÿÿ ÿÿÿÿÿÿÿÿ ,04:03,17:16, 16 : 17,b,quants
348,Findÿ theÿ averageÿ ofÿ allÿ evenÿ numbersÿ uptoÿ 75.,35,ÿÿÿÿ 36,ÿÿÿÿ  38,ÿÿÿÿ  34,c,quants
349,Find theÿ averageÿ ofÿ firstÿ 40ÿ naturalÿ numbers.,20.5,18,19.5,19,a,quants
350,The value of 34.31*0.473*1.567/0.0673*23.25*7.57 is,2,1.15,2.05,2.15,d,quants
351,Embarrassed is to humiliated as frightened is to?..,terrifiedÿÿÿÿÿÿÿ, agitatedÿÿÿÿÿÿ, courageous,reckless,a,reasoning
352,Amorphousness is to Definition as Lassitude is to??, Energyÿÿÿ, Awarenessÿÿÿ,Uniformityÿÿ,Companionship,a,reasoning
353,The binary equivalent of the decimal number 125 is,1100100,1111101,1101100,1111111,b,quants
354,"Find the lowest common multiple of 24, 36 and 40.",120,240,360,480,c,quants
355,What percent is 2 minutes 24 seconds of an hour?,6%,ÿ2%,ÿ4%,8%,c,quants
356,Which of the following fraction is the largest ?,7 by 8,13 by 16,31 by 40,63 by 80,a,quants
357,If 7125?1.25= 5700< the value of 712.5ö12.5 is:,5.7,57,570,0.57,b,quants
358,"If 45-[28-{37-(15-*)}]= 58, then * is equal to:", -29ÿÿÿ, -19ÿÿÿ, 19ÿÿÿ,29,c,quants
359,252 can be expressed as a product of primes as:,2 x 2 x 3 x 3 x 7,2 x 2 x 2 x 3 x 7,3 x 3 x 3 x 3 x 7,2 x 3 x 3 x 3 x 7,a,quants
360,The mean proportional between 234 and 104 is :,12ÿ,39ÿ,54ÿ,None of these,d,quants
361,"Ifÿ log 27= 1.431, then the value of log 9 is:",0.934ÿ,0.945ÿÿ,0.954ÿ,0.958,c,quants
362,"Which term of the series 5,8,11,14,??.is ÿ320?", 104th,105th,106th, 64th,c,reasoning
363,"If p?q=p2+q2-p-q and p?q=pq-p-q,then(6?5)? 5 =",945,1148,983,764,a,reasoning
364,Which of the followingÿ ratios is greatest ?,7 :15ÿÿÿÿÿÿÿÿÿÿÿ ,15:23,17 :25ÿÿÿÿÿÿÿÿÿ ,21:29,d,quants
365,Which of the following fraction is smallest?,23/28,14/15,15/19,21/24,c,quants
366,Find the highest common factor of 36 and 84.,4,6,12,18,c,quants
367,Which year has the same calendar as 1700 ?ÿ,1705ÿÿÿÿÿÿÿÿÿÿÿ,1706 ÿÿÿÿÿÿÿÿÿÿÿ,1707 ÿÿÿÿÿÿÿÿÿÿÿ,1708,b,reasoning
368,0.585858 is equivalent to the fraction?.,58/100,58/99,85/100,85/99,b,quants
369,Candid is to indirect as honest is to???, Frankÿÿÿÿÿ, wickedÿÿÿÿ, truthfulÿÿÿÿÿÿ, untruthful,d,reasoning
370, Insomnia is to Lead as Minamata is to??,Tobaccoÿÿ,Mercuryÿÿÿÿ,Alcoholÿÿ, Chromium,b,reasoning
371,Bhakra is to Sutlej as Aswan is to ??..,indus, Damodarÿÿÿ, Volgaÿÿÿÿ, Nile,d,reasoning
372, The last day of a century cannot be :,Monday,Wednesday,Friday,Saturday,d,reasoning
373, The number 311311311311311311311 is:,divisible by 3 but not by 11,divisible by 11 but not by 3,divisible by both 3 and 11,neither divisible by 3 nor by 11,d,quants
374,"The G.C.D. of 1.08, 0.36 and 0.9 is:",0.03,0.9,0.18,0.108,c,quants
375,"If log x + log y = log (x+y), then,",x=y ÿ,xy=1 ,y= (x-1)/xÿÿ,y=x/(x-1),d,quants
376,Find the value of (20C18)*(20C20),400,380,360,350,b,quants
377,Dungeon: Confinement:: Asylum : ?, Refugeÿÿÿÿÿÿÿ,Mercyÿÿÿÿÿ,Truancyÿÿÿÿÿÿÿÿÿÿ,Remorseÿ,a,reasoning
378,"If 5@6=61 and 8@10=164,then 7@9=?",125,63,130,32,c,reasoning
379,ÿ0.9*0.007=ÿ ??????????_________,0.063,0.0063,0.63,0.00063,d,quants
380,125 x 125 x 125 x 125 x 125 = 5?,5,3,15,2,c,quants
381,(51+52+53+???+100) is equal to:,2525,2975,3225,3775,d,quants
382, Scribble: Write: : Stammer : ?,walk, Playÿÿÿÿÿÿ, Speakÿÿÿÿÿ,Dance,c,reasoning
383,"DEF, DEF2, DE2F2, _____, D2E2F3", DEF3ÿ, D3EF3ÿ, D2E3Fÿ, D2E2F2,d,reasoning
384, Quail: Partridges: : Yak: ?,cows, Deerÿÿÿÿ, Oxenÿÿÿÿÿÿ, Antelopes,c,reasoning
385,"ÿ1.5, 3, 5.5, 9, 13.5, 19, ?",.ÿ81,ÿ15.5,21.5,25.5,d,reasoning
386,0.363*0.522+0.363*0.478 = ?,0.522,0.845,0.363,0.985,c,quants
387," 380, 188, 92, 48, 20, 8, 2",188,92,48,20,c,reasoning
388,20.05 + 35.603- ?? =43.087,10.263,12.566,15.426,13.286,b,quants
389,Conviction : Incarceration,reduction : diminutionÿÿÿ,induction : ameliorationÿ, radicalization : estimationÿÿ,marginalization : intimidation,a,reasoning
390, 19 23 29 31 37 41 _______,43,47,53,51,a,reasoning
391,"If a$b=a2b2-ab , then 3$8=",600,552,576,625,b,reasoning
392,Find the value ofÿ85P3ÿ.,565350,595650,535950,565350,b,quants
393,117 * 117 + 83 * 83 = ?,20698,20578,21698,21268,b,quants
394, CONFIRMED : INVETERATE,knowledge : supposed,financial : bankrupt, immature : callow, credible : incredible,b,reasoning
395,101 131 374 383 313 727,383ÿ,374ÿ,101,727,b,reasoning
396,Snake: Fang : : Bee: ?, Honeyÿÿÿÿ, Hummingÿÿ,Waxÿÿÿ,Sting,d,reasoning
397, Embarrass: Humiliate,Enquire: Askÿÿÿ, Embezzle: Peculateÿÿ,Gamble: Investmentÿÿ,Annoy: Exasperate,d,reasoning
398, 8 12 21 30 46 _____,54,62,50,34,b,reasoning
399,LULLABY : BARCAROLE,birth : marriage,night : morning,cradle : gondola,song : poem,c,reasoning
400,The value of 3.236,47/198,3  4/198,48/98,58/36,a,quants
401, ZOOLOGY : ANIMALS, ecology : pollution, botany : plants,chemistry : atoms, history : people,a,reasoning
402, ALCHEMY : SCIENCE, nostrum : remedy, sideshow : carnival,cploy : tactic,forgery : imitation,a,reasoning
403,DKY FJW HIU JHS ——,KGRÿ, LFQÿ, KFRÿ,LGQÿ,d,reasoning
404,0.0015öÿ? = 0.003,0.05,0.005,0.5,5,c,quants
405,Evaluate 50!/ 47!,102500,112584,117600,118450,c,quants
406, Partridge: Covey,Directors: Bandÿÿ, Mountain: Rangeÿÿÿ,Sheep: Swarmÿÿÿÿÿ, Goods: Consignment,d,reasoning
407,"4, 3, 4, 9, 32 ??",125,135,145,155,d,reasoning
408,Farce: Absurdity,Disease: Medicineÿÿ,Charity: Generosityÿÿÿ,Tragedy: Comedyÿÿ,Energy: Electricity,b,reasoning
409, SAW : CARPENTER, Scissors : tailor, Wagon : farmer, Brush : painter, Typewriter : author,a,reasoning
410, Arrows: Quiver,Fear: Trembleÿÿÿÿÿÿ,Money: Bankÿÿÿÿÿÿ, Sound: Musicÿÿÿÿÿÿÿ, Coin: Mint,b,reasoning
411, Aerie : Eagle,capital : governmentÿÿÿÿÿ,bridge : architectÿÿÿÿÿ, unit : apartmentÿÿÿÿ,house : person,d,reasoning
412,ANGLE : DEGREE, area : square inch, milk : quart, society : classes, letter : alphabet,a,reasoning
413,PARQUET : WOOD,color : painting,mosaic : glass, potpourri : medley, collage : tapestry,b,reasoning
414, NEEDLE : KNIT,bait : fish,match : fire,loom : weave,soap : wash,c,reasoning
415,LURK : WAIT,aboost : elevate,deplete : drain,cabscond : depart,bilk : cheat,c,reasoning
416,DORY : VAN,dairy : cow, fish : vehicle, freighter : caisson, runners : wheels,c,reasoning
417,,,,,,c,quants
418,,,,,,a,quants
419,,,,,,b,quants
420,,,,,,b,quants
421,,,,,,b,quants
422,,,,,,a,quants
423,,,,,,b,quants
424,,,,,,a,quants
425,,,,,,d,quants
426,,,,,,c,quants
427,,,,,,b,quants
428,,,,,,a,quants
429,,,,,,d,quants
430,,,,,,d,quants
431,,,,,,d,reasoning
432,,,,,,b,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
,,,,,,,reasoning
