serial,question,option1,option2,option3,option4,correct,subject
243,Evaluateÿ(5.68)2ÿ? (4.32)2 /5.68-4.32,8,9,10,12,c,quants
244, Evaluateÿ4.3*4.3*4.3+1/4.3*4.3-4.3+1,14.3,52.3,5.3,42.3,c,quants
245,25.25/2000ÿis equal to:,1.012526,0.012625,0.12526,0.12625,b,quants
246,The value ofÿ(2.502+0.064)2ÿ- (2.502-0.064)2/2.502*0.064,0.25,0.235,4,3,c,quants
247,The value ofÿ4.5*1.8+4.5*8.2/1.5*4.5+1.5*5.5,10,8,5,3,d,quants
248,The value ofÿ(.02)2ÿ+ (0.52)2ÿ+ (0.035)2 / (0.002)2ÿ+ (0.052)2ÿ+ (0.0035)2,100,1000,0.001,0.0001,a,quants
249,"Out of 200 donors, ¬  are men and remaining are women. Each male donor donates Rs.3000 per year and each female donor donates « of that amount. What is the total yearly collection through donations?ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ","Rs.1, 50,000"," Rs.3, 75,000","Rs.1, 40,300","Rs.2, 25,000",b,quants
250,One-fifth of Ramu?s expenditure is equal to one-half of his savings. If his monthly income is Rs.6300 how much amount does he save?,ÿRs.1550,Rs.1800,ÿRs.2000,Rs.2350,b,quants
251,"The width of a rectangular hall is « of its length. If the area of the hall is 450 sq.m, what is the difference between its length and breadth?",8m,10m,12m,15m,d,quants
252,A person can row 750 metresÿ against the stream in 11 ¬ minutes and returns in 7 « minutes. The speed of the person in in still water is :,2 km/hr,3 km/hrÿÿÿÿÿÿÿÿ ,4km/hrÿÿÿÿÿÿÿÿÿ ,5 km/hr,d,quants
253,"If a man rows at the rate of 6 kmph in still water and his rate aginst the current is 4.5 kmph, then the man?s rate along the current is",6 kmphÿ ,7.5 kmphÿÿÿÿ ,6.5kmphÿÿÿÿÿ ,8 kmphÿÿÿÿÿÿÿ,b,quants
254, A boat moves upstream at the rate of 1 km in 20 minutes and down stream 1 km in 12 minutes. The speedÿ of the current is :,1 kmph ,2 kmphÿÿÿÿÿÿÿÿ ,3 kmphÿÿÿÿÿÿÿÿ ,2.5 kmph,a,quants
255,A man can rowÿ a boat at 10 kmph in still water andÿ the speed of the stream is 8 kmph. What is the time taken to row a distance of 90 km down the stream ?,8hrs,5 hrsÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,15 hrs ÿÿÿÿÿÿÿÿ ,20 hrs,b,quants
256,"If athulÿ rows 16 km upstream and 24 km down steamÿ taking 4 hours each, then the speed of the stream",1kmph,2kmphÿ,1.5 kmphÿÿÿÿÿ ,12 kmph,a,quants
257,"A man rows downstream 32 km and 14km upstream. If he takes 6 hours to cover each distance, then the velocity (in kmph) of the current is:",1/2ÿ,1ÿ,1and «ÿ,2,,quants
258,"In one hour, a boat goes 11km along the stream and 5km against the stream.The speed of the boat in still water (in km/hr)is:",3,5,8,9,c,quants
259,"Speed of a boat in still water is 16km/h. If it can travel 20km downstream in the same time as it can travel 12 km upstream, the rate of stream is.ÿ",1km/hÿ,2km/hÿ,4km/hÿ,5km/h,c,quants
260,"A and B started a business investing Rs. 90,000 and Rs 20,000 respectively. In what ratio the profit earned after 2 years be divided between A and B respectively?",09:02,03:02, 18:20,18:04,a,quants
261,"Ajay, Bhavan and Chetan started a business together. Thrice the investment of Ajay, twice the investment of Bhavan and the investment of Chetan are equal. Find the ratio of their respective profits at the end of the year?",01:02:01, 2:3:6,03:02:01, 1:2:3,b,quants
262,"A, B and C started a business with capitals of Rs.6000, Rs.8000, and Rs.10000 respectively. At the end of the year, the profit share of B is Rs1000. The difference between the profit shares of A and C is",Rs. 400, Rs. 450, Rs. 500, Rs. 550,c,quants
263,"The ratio of investments of A, B and C is 5:6:7. If they share the profit in the ratio of 5:9:14, then find the ratio of their periods of investments.",02:03:04,03:05:06, 3:2:4, 2:4:3,a,quants
264,"A, B, C subscribe Rs. 50000 for a business. A subscribes Rs. 4000 more than B and B Rs. 5000 more than C. Out of a total profit of Rs.35000 A receives:",Rs. 11900, Rs. 8400, Rs. 14700,Rs. 13600,c,quants
265,"Four milkmen rented a pasture. A grazed 24 cows for 3 months, B 10 cows for 5 months, C 35 cows for 4 months and D 21 cows for 3 months. If A?s share of rent is Rs.720, find the total rent of the field.", Rs.3250, Rs.3350,Rs.3450, Rs.3550,a,quants
266,"A, B, C hired a car for Rs. 720 and used it for 9, 10 and 13 hours respectively. Hire charges paid by B are:",Rs 220,Rs.225, Rs.230, Rs.235,b,quants
267," Arjun started a business with Rs. 20,000 and is joined afterwards by Anoop with Rs.30, 000. After how many months did Anoop join if the profits at the end of the year are divided equally?",3,4,5,6,b,quants
268,"P and Q invested in a business. They earned some profit which they divided in the ratio of 2:3. If P invested Rs.60, 000, the amount invested by Q is:","Rs. 65,000","Rs. 70,000","Rs. 80,000"," Rs. 90,000",d,quants
269," Anand and Deepak started a business investing Rs. 22,500 and Rs. 35,000 respectively. Out of a total profit of Rs. 13,800, Deepak?s share is :", Rs. 5400, Rs.7200,Rs. 8400,Rs. 9600,c,quants
270,"P and Q entered into a partnership investing Rs. 16,000 and Rs. 12,000 respectively. After 3 months, A withdrew Rs.5000 while B invested Rs. 5000 more. After 3 more months, C joins the business with a capital of Rs. 21,000. The share of B exceeds that of C, out of a total profit of Rs. 26,400 after one year by:",Rs.2400,Rs.3000, Rs.3600,Rs.4800,c,quants
271," Kiran received Rs. 6000 as his share out of the total profit of Rs.9000 which he and Arun earned at the end of one year. If Kiran invested Rs. 30,000 for 6 months, whereas Arunÿ invested his amount for the whole year, what was the amount invested byÿ Arun?ÿÿ", Rs.5000,Rs.6000,Rs.7000,Rs.7500,d,quants
272," A, B and C enter into a partnership and theirs shares are in the ratio 1/2 : 1/3 : 1/4. After two months, A withdraws half of his capital and after 10 months, a profit of Rs.378 is divided among them. What is B?s share?", Rs.129, Rs.144, Rs.156,Rs.168,b,quants
273,"X, Y and Z contract a work for Rs. 1100. X and Y together are to do 7/11 of the work. C?s share is:", Rs.366.6,Rs.400, Rs.600,Rs.800,b,quants
274,"Rs.900 is divided among Maya, Annie, Saiji so that Maya receives half as much as Annie and Annie half as much as Saiji. Then Saiji?s share is :",Rs.200, Rs.300,Rs.400, Rs.600,c,quants
275,"If 4 (A?s capital) = 6 (B?s capital) = 10 (C?s capital), then out of a profit of Rs.4650, C will receive:",Rs.2250,Rs.1550,Rs.900,Rs.465,c,quants
276," P,Q and R enter into a partnership in the ratio 7/2 : 4/3 : 6/5. After 4 months, A increases his share by 50%. If the total profit at the end of one year be Rs.21600, then B?s share in the profit is:",Rs.2100, Rs 2400,Rs.3600, Rs.4000,d,quants
277,"Three partner?s A,B,C start a business. Twice A?s capital is equal to thrice B?s capital and B?s capital is four times C?s capital. Out of a total profit of Rs.16500 at the end of the year, B?s share is:",Rs.4000,Rs.6000,Rs 7500, Rs.6600,b,quants
278,"In a partnership, A invests 1/6 of the capital for 1/6 of the time, B invests 1/3 of the capital for 1/3 of the time and C, the rest of the capital for the whole time. Out of a profit of Rs.4600, B?s share is:",Rs.650,Rs.800, Rs.960, Rs.1000,b,quants
279,Findÿ theÿ 15thÿÿtermÿ ofÿ anÿ arithmeticÿ progressionÿ whoseÿ firstÿ termÿ isÿ 2ÿ andÿ theÿ commonÿ differenceÿ isÿ 3.,45,38,44,40,c,quants
280,"Findÿ theÿ numberÿ ofÿ terms inÿ anÿ arithmeticÿ progressionÿÿ withÿ theÿ firstÿ termÿ 2ÿ andÿ theÿ lastÿ termÿ being 62, givenÿ thatÿ commonÿ differenceÿ isÿ 2.",31,40,22,27,a,quants
281,Theÿ firstÿ termÿ ofÿ anÿ arithmeticÿ progressionÿ is 3ÿ andÿ theÿ 10ÿthÿÿ termÿ isÿ 21.ÿ Findÿ 15 thÿ andÿ 22 ndÿ terms.,"21,35","31,45","30,46","29,40ÿÿÿÿÿÿÿÿÿÿ",b,quants
282,Theÿ 5ÿthÿ termÿÿ andÿ 21ÿstÿ termÿ ofÿ aÿ seriesÿ inÿ A.Pÿ areÿ 10ÿ andÿ 42ÿ respectively.ÿÿ Findÿ theÿ 31 stÿ term.,50,55,65,62ÿÿ ÿÿÿÿÿÿÿÿÿ,d,quants
283,"Fiveÿ timesÿ theÿ fifthÿ termÿ ofÿ anÿ A.Pÿ isÿ equalÿ toÿ sixÿ timesÿ theÿ sixthÿ termÿ ofÿ theÿ A.P,ÿ Whatÿ isÿ theÿ valueÿ ofÿ theÿ eleventhÿ term?",1,5,0,2,c,quants
284,Findÿ theÿ sumÿ ofÿ allÿ 2ÿ digitÿ numbersÿ divisibleÿ byÿ 3.,2000,1665,1300,1448ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
285,Theÿ sumÿ ofÿ nÿ termsÿ ofÿ aÿ seriesÿ inÿ A.Pÿ isÿ 6n2ÿ+ 6n.ÿ Whatÿ isÿ theÿ 4 thÿ termÿ ofÿ theÿ series?,38,49,60,48ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,d,quants
286,"Howÿ manyÿÿ termsÿ areÿ thereÿ inÿ 2,4,8,16,???..1024?",10,6,9,8ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
287,Theÿ sumÿ ofÿ theÿ firstÿ fiveÿ termsÿ ofÿ aÿ G.P isÿ 363.ÿ Ifÿ theÿ commonÿ ratioÿ isÿ 1/3ÿ findÿ theÿ firstÿ term.,323,243,232,332,b,quants
288,"Findÿ theÿ sumÿ ofÿÿ theÿfollowingseries,1,4/5,16/25,64/125ÿ?????..",10,6,9,5,d,quants
289,Thereÿ areÿ nÿ arithmeticÿ meansÿ betweenÿ 3ÿ andÿ 45ÿ suchÿ thatÿ theÿ sumÿ ofÿ theseÿ arithmeticÿ meansÿ isÿ 552.ÿ findÿÿ theÿ valueÿÿ ofÿ n.,11,15,17,23,d,quants
290,Findÿ theÿÿ lastÿ termÿÿ ofÿ aÿ G.P whoseÿ firstÿ termÿ isÿ 9ÿ andÿ commonÿ ratio is ( 1/3 )ÿ ifÿ theÿ sumÿ ofÿ theÿ termsÿ ofÿ theÿ G.Pÿ is ( 40/3 ),1 by 3,2 by 5,¬,2/3ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
291,Findÿ theÿ commonÿ ratioÿ ofÿ threeÿ numbersÿ inÿ G.Pÿ whoseÿ productÿ isÿ 216ÿ andÿ theÿ sumÿÿ ofÿ theÿ productsÿ takenÿ inÿ pairsÿ isÿ 114.,2ÿ orÿ «,2/3 or 3/2,? orÿ 4/3,4ÿ orÿ ¬ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,b,quants
292,"Inÿ anÿ A.Pÿ consistingÿ ofÿ 27ÿ terms,ÿ theÿ sumÿ ofÿ theÿ firstÿ threeÿ termsÿ isÿ 21ÿ andÿ thatÿ of theÿ threeÿ middleÿ termsÿ isÿ 93.ÿ Findÿ theÿ firstÿ termÿ andÿ theÿ commonÿ difference.","6,3","6,23","7,3","5,2ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ",d,quants
293," Findÿ theÿ firstÿ termÿ andÿ theÿ commonÿ ratioÿ ofÿ aÿ G.Pÿ whoseÿ fourthÿÿ termÿÿ isÿ 250ÿ andÿ seventhÿ termÿ isÿ 31,250","2/5,25","4,5/2","1,16","2,5ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ",d,quants
294,"Theÿ sumÿ ofÿ theÿ firstÿ eightÿ termsÿ ofÿ aÿ geometricÿ seriesÿ isÿ 10,001ÿ timesÿÿ theÿ sumÿ ofÿ itsÿ fourÿ terms .ÿ Findÿ theÿ commonÿ ratioÿ ofÿ theseÿ series","1,000",10,10,100ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,c,quants
295,Whatÿ isÿ theÿ sumÿ ofÿ theÿ firstÿ 15ÿ termsÿ ofÿ anÿ A.Pÿ whoseÿ 11 thÿ andÿÿ 7 thÿ termsÿ areÿ 5.25ÿ andÿ 3.25ÿ respectively,56.25,60,52.5,Noneÿ ofÿ theseÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,a,quants
296,"Ifÿ sumÿ ofÿ threeÿ numbersÿ inÿ A.Pÿ isÿ 33ÿ andÿ sumÿ of theirÿÿ squaresÿ idÿ 491,ÿ thenÿ whatÿ areÿ theÿ threeÿ numbers.","5,11,17","7,11,15","9,11,13","3,11,19ÿÿ",d,quants
297,Fourÿ anglesÿ ofÿ aÿ quadrilateralÿ areÿ inÿ G.P.ÿ Whoseÿ commonÿ ratioÿ isÿ anÿ intiger.ÿ Twoÿ ofÿ theÿ anglesÿ areÿ acuteÿ whileÿ theÿ otherÿ twoÿ areÿ obtuse.ÿÿ Theÿ measureÿ ofÿ theÿ smallestÿÿ angleÿ ofÿ theÿ quadrilateralÿ is,12,24,36,48,b,quants
298,"Theÿ sumÿ ofÿ theÿ termsÿ ofÿ anÿ infiniteÿ G.Pÿ isÿ 7ÿ andÿ theÿ sumÿ ofÿ theÿ cubesÿ ofÿ theÿ termsÿ isÿ 1,225.ÿ Findÿÿ theÿ firstÿ termÿ ofÿ theÿ series.",35/3,35/2,15/2,9/4ÿ,a,quants
299,Evaluate 50!/ 47!,102500,112584,117600,118450,c,quants
300,Find the value ofÿ85P3ÿ.,565350,595650,535950,565350,b,quants
301,Find the value of (20C18)*(20C20),400,380,360,350,b,quants
302," How many words with or without meaning, can be formed by using all the letters of the word, ?ORANGE?, using each letter exactly once?",700,720,750,800,b,quants
303,"There are 28 stations between Ernakulam and Chennai. How many second class tickets have to be printed, so that a passenger can travel from one station to any other station?",800,820,850,870,d,quants
304,"In how many ways can the letters of the word, ?TECHNOLOGY? be arranged?",1804400,1814400,1714400,1704400,b,quants
305,"A bag contains 2 yellow balls, 3 white balls and 5 red balls. In how many ways can two balls be drawn from the bag?",2C2,10C2,8C2,5C2,b,quants
306,"In how many ways can the letters of the word, ?LANGUAGE? be arranged in such a way that the vowels always come together?",600,700,720,750,c,quants
307,"In how many ways can the letters of the word, ?KEYBOARD? be arranged in such a way that the vowels always come together?",4250,4520,4320,4230,c,quants
308,In how many ways can a team 16 be chosen out of a batch of 20 players?,4845,6852,3125,5846,a,quants
309,"How many ways can the letters of the word, ?MACHINE? be arranged so that the vowels may occupy only the odd positions?",210,576,144,456,b,quants
310,"From a group of 5men and 4 women, 3 persons are to be selected to form a committee so that at least 2 men are there are on the committee. In how many ways can it be done?",20,50,65,86ÿÿÿÿÿÿ ÿÿÿÿÿ,b,quants
311,In how many ways can a committee consisting of 4 men and 5 women be formed from a group of 7 men and 9 women?,7C4ÿÿ9C5,4C7ÿÿ5C9,7C5 ÿ9C4,ÿ9C4ÿÿ7C5,a,quants
312,In how many ways can 5 boys and 3 girls sit around a table in such a way that no two girls sit together?,1000,1400,1440,1800,c,quants
313,A letter lock has 3 rings each containing 6 letters. What is the maximum number of false trials that can be made before the lock is opened?, 3*26C6, (26C6)3,ÿ26C6. 3!,215,d,quants
314,A letter lock has 3 rings each containing 6 letters. How many such three letter passwords can exist?,216,26C6ÿ*3,(26C6)3, (26C6)3ÿ*63,d,quants
315,How many different words can be formed from the word DAUGHTER so that ending and beginning letters are consonants?,7200,14400,360,1440,b,quants
316,"Out of 6 consonants and 3 vowels, how many words of 4 consonants and 2 vowels can be formed?",1050,25200,32400,5800,c,quants
317,"A box contains 3 white balls, 4 black balls and 5 yellow balls. In how many ways can 4 balls be drawn from the box, if at least one yellow ball is to be included in the draw?",652,547,425,356,c,quants
318, In how many ways can 22 books on English and 20 books on Hindi be placed in a row on a shelf so that two books on Hindi may not be together?,4586,5896,2415,1771,d,quants
319,How many words can be formed by re-arranging the letters of the word ASCENT such that A and T occupy the first and last position respectively?,5!ÿÿÿÿÿ,4!ÿÿÿÿÿÿÿÿÿÿÿÿ,6! - 2!ÿÿÿÿÿÿÿ,6! / 2!,b,quants
320,There are 2 brothers among a group of 20 persons. In how many ways can the group be arranged around a circle so that there is exactly one person between the two brothers?, 2 * 19!ÿÿÿÿÿÿÿÿÿÿÿÿÿ,18! * 18ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ, 19! * 18ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,2 * 18!,d,quants
321,There are 12 yes or no questions. How many ways can these be answered?,1024ÿÿ,2048ÿÿÿÿÿÿÿÿÿÿÿÿ,4096ÿÿ,144,c,quants
322,"How many ways can 4 prizes be given away to 3 boys, if each boy is eligible for all the prizes?",256ÿÿÿÿ,12ÿÿÿÿÿÿÿÿÿÿÿÿ,81ÿÿÿÿÿÿÿÿÿÿÿÿ,None of these,c,quants
323,"A team of 8 students goes on an excursion, in two cars, of which one can seat 5 and the other only 4. In how many ways can they travel?",9ÿÿÿÿÿÿÿÿ,26ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,126ÿÿÿÿÿÿÿÿÿÿÿÿÿ,3920,c,quants
324,How many numbers are there between 100 and 1000 such that at least one of their digits is 6?,648ÿÿÿÿ,258ÿÿÿÿÿÿÿÿÿÿÿ,654ÿÿÿÿÿÿÿÿÿÿÿÿ,252,d,quants
325,"How many ways can 10 letters be posted in 5 post boxes, if each of the post boxes can take more than 10 letters?",510ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,105ÿÿÿÿÿÿÿÿÿÿÿ,10P5ÿ,10C5,a,quants
326,In how many ways can the letters of the word EDUCATION be rearranged so that the relative position of the vowels and consonants remain the same as in the word EDUCATION?,9!/4ÿÿÿÿ,9!/(4!*5!),4!*5!,None of these,c,quants
327,In how many ways can 15 people be seated around two round tables with seating capacities of 7 and 8 people?,15!/(8!)ÿÿÿÿÿÿÿÿÿÿÿÿ,7!*8!ÿÿÿÿÿÿÿÿÿÿÿÿ, (15C8)*6!*7!ÿÿÿÿÿÿÿÿÿÿÿÿ,2*(15C7)*6!*7!,c,quants
328,If the letters of the word CHASM are rearranged to form 5 letter words such that none of the word repeat and the results arranged in ascending order as in a dictionary what is the rank of the word CHASM?,24ÿ,31ÿ, 32ÿ,30,c,quants
329," How many words of 4 consonants and 3 vowels can be made from 12 consonants and 4 vowels, if all the letters are different?",16C7 * 7!ÿÿ,12C4 * 4C3 * 7!ÿÿ,12C3 * 4C4ÿÿ,12C4 * 4C3,b,quants
330,"In how many ways can 5 letters be posted in 3 post boxes, if any number of letters can be posted in all of the three post boxes?",5C3ÿÿÿ, 5P3ÿÿÿÿÿÿÿÿÿÿÿ, 53ÿÿÿÿÿÿÿÿÿÿÿÿ,35,d,quants
331,How many number of times will the digit '7' be written when listing the integers from 1 to 1000?,271ÿÿÿÿ,300ÿÿÿÿÿÿÿÿÿÿÿÿ,252ÿÿÿÿÿÿÿÿÿÿÿ,304,b,quants
332,"There are 6 boxes numbered 1, 2,...6. Each box is to be filled up either with a red or a green ball in such a way that at least 1 box contains a green ball and the boxes containing green balls are consecutively numbered. The total number of ways in which this can be done is",5,21, 33ÿ,60,b,quants
333,"What is the value of 1*1! + 2*2! + 3!*3! + ............ n*n!, where n! means n factorial or n(n-A(n-2)...1",n(n-A(n-A!))ÿÿÿÿ, (n+A!)/(n(n-A))ÿÿÿÿÿ, (n+A! - n!)ÿ , (n + A! - 1!),d,quants
334,"If a number is chosen at random from the set {1, 2, 3?, 100}, then the probability that the chosen number is a perfect cube is", 1/25,1 by 2,4 by 13,1 by 10,a,quants
335,What is the probability of getting at least one six in a single throw of three unbiasedÿdice?,1 by 6,125/216ÿÿÿÿÿÿÿ ,1 by 36,91/216,d,quants
336,"In a simultaneous throw of two dice, what is the probability of getting a doublet?",1 by 6,1 by 4,2 by 3,3 by 7,a,quants
337," A bag contains 4 red balls, 5 green balls and 6 white balls. A ball is drawn at random from the box. What is the probability that the ball drawn is either red orÿgreen?",2 by 5,3 by 5,1 by 5,7 by 15,b,quants
338,"When 4 dice are thrown, what is the probability that the same number appears onÿeach of them?",1/36ÿÿÿÿÿÿÿÿÿÿ ,1/18ÿÿÿÿÿÿÿÿÿÿ ,1/216ÿÿÿÿÿÿÿÿ ,1/5ÿÿ,c,quants
339,"The probability that it is Friday and that a student is absent is 0.03. Since there are 5ÿschool days in a week, the probability that it is Friday is 0.2. What is the probabilityÿthat a student is absent given that today is Friday?",10%,15%,12%ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,13%,b,quants
340,Two dice are rolled. The probability of getting a sum of at least 9 is,13/36ÿÿÿÿÿÿÿÿ ,5/18ÿÿÿÿÿÿÿÿÿ ,35/36ÿÿÿÿÿÿ ÿÿÿÿ,11/36ÿÿ,b,quants
341," If four cards are drawn at random from a well shuffled pack of cards, what is the probability thatÿeach card is an ace?",6/52C4,4/52C4ÿ,1/52C4ÿ,3/52C4ÿ,c,quants
342,"A person tosses an unbiased coin. When head turns up, he gets Rs.8 and tail turns up he losesÿRs.4. If 3 coins are tossed, what is probability that the gets a profit of Rs.12?",3/8ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,5/8ÿ,3/4ÿ,1 by 8,a,quants
343,"A number n is chosen from {2, 4, 6 ? 48}. The probability that ?n? satisfies the equation (2x ? 6)ÿ(3x + 12) (x ? 6) (x ? 10) = 0 is",1/24ÿÿÿÿÿÿÿÿÿÿ ,1/12ÿ,1/8ÿ,1 by 6,b,quants
344,"A box contains 12 mangoes out of which 4 are spoilt. If four mangoes are chosen at random, find the probability that all the four mangoes are spoiled.",1/495ÿÿÿÿÿÿÿ ,494/495ÿ,1/395ÿÿ,394/395,a,quants
345,"A box contains 12 mangoes out of which 4 are spoilt. If four mangoes are chosen at random, find the probability that  not all the mangoes are spoiled.",1/495ÿ,394/395ÿ,494/495ÿ,1/395ÿ,c,quants
346,"A box contains 12 mangoes out of which 4 are spoilt. If four mangoes are chosen at random, find the probability that exactly three are not spoiled.",116/495ÿ,224/495ÿ,129/495ÿ,187/495,b,quants
347,A number is selected at random from first thirty natural numbers. What is the chance that it is aÿmultiple of either 3 or 13?,17/30ÿ,2/5ÿÿÿÿÿÿÿÿ ,11/30ÿÿÿÿÿÿÿÿÿ ,4 by 15,b,quants
348,"If the numbers 1 to 100 are written on 100 pieces of paper, (one on each) and one piece is picked at random, then what is the probability that the number drawn is neither prime nor composite?",1 by 50,1/25ÿ ÿÿÿÿÿÿÿÿ,1/100ÿ, 1 by 25,c,quants
349,"If the numbers 1 to 100 are written on 100 pieces of paper, (one on each) and one piece is picked at random, then find the probability that the number drawn is a multiple of 6 and 8.",3/50ÿÿÿÿÿÿÿÿÿÿ ,2/25ÿÿÿÿÿÿ ÿÿÿÿ,1/50ÿÿÿÿÿÿÿÿÿÿÿ ,1 by 25,d,quants
350,"If the numbers 1 to 100 are written on 100 pieces of paper, (one on each) and one piece is picked at random, then find the probability that the number drawn is a factor of 50.",1/25ÿ,1/50ÿ,3 by 25, 3/50,d,quants
351,"Out of 7 fruits in a basket, 2 are rotten. If two fruits are drawn at random from the basket, theÿprobability of both being rotten is",1/21ÿ,10/21ÿÿÿÿÿÿÿÿÿ ,20/21,11 by 21,a,quants
352,The probability that a number selected at random from first 50 natural numbers is a compositeÿnumber is,21/25ÿ,17/25ÿ,4/25ÿ,8 by 25,b,quants
353,"If six persons sit around a table, the probability that some specified three of them are alwaysÿtogether is",1/20ÿ,3/10ÿÿÿÿÿÿÿÿÿÿÿ ,1/5ÿ,4 by 5,b,quants
354," If 10 letters are to be placed in 10 addressed envelopes, then what is the probability that at least one letter is placed in wrong addressed envelope?",1/10!ÿÿÿÿ,1/9!ÿÿÿÿÿ,1- (1/10!)ÿÿÿÿÿÿÿÿÿÿÿ,9 by 10,c,quants
355,Two letters are selected randomly from English alphabet simultaneously. What is the probability that one is a constant and the other a vowel?,10/67ÿÿÿÿÿÿ,21/65ÿÿÿÿ,44/65ÿÿÿÿ,2 by 13,b,quants
356,Two dice are rolled together. The probability that the sum of the numbers shown on the two dice is maximum or minimum is??,1/18ÿÿÿÿÿÿÿÿÿÿ,1/9ÿÿÿÿÿÿ,1/6ÿÿÿÿÿÿÿ,1 by 36,a,quants
357,"A bag has 5 red balls and 3 green balls and another bag contains 4 green balls and 3 red balls. If one ball is drawn from each bag, then what is the probability that both are green balls?",5/14ÿÿÿÿÿÿÿÿÿÿ,3/14ÿÿÿÿÿÿÿÿÿÿ,11/14ÿÿÿÿ,9 by 14,b,quants
358,Two cards are drawn at random from a pack of cards. The probability that both are queens or diamonds is??,20/221ÿÿÿÿ,15/221ÿÿÿÿ,13/221ÿÿÿÿ,14/221,d,quants
359,"If a coin is tossed 6 times, then the probability of getting exactly 1 head is ???..",1/32ÿÿÿÿÿÿÿÿÿÿ,13/32ÿÿÿÿ,5/32ÿÿÿÿÿÿÿÿÿÿ,3 by 32,d,quants
360,"Amit throws a biased coin on which the head appears in 65% of the situations. In a game involving this coin, if Amit is paid Rs.15 per head and he has to pay Rs.20 for a tail, then in the long run, per game Amit makes an average??",Profit of Rs.2.25ÿÿÿÿ,loss of Rs.2.25ÿÿÿÿ,profit of Rs.2.75ÿÿÿÿ,loss of Rs.2.75,c,quants
361," From a box containing a dozen bulbs, of which exactly one half are good, and four bulbs are chosen at random to fit into the four bulb holders in a room. The probability that the room gets lighted is????",2/3ÿÿÿÿÿÿ,1/3ÿÿÿÿÿÿ,33/44ÿÿÿÿ,32/33,d,quants
362,"From a bag containing 6 pink and 8 orange balls, 8 balls are drawn at random. The probability that 5 of them are pink and the rest are orange is????",16/143ÿÿÿÿ,19/143ÿÿÿÿ,17/143ÿÿÿÿ,13/143,a,quants
363,"A bag contains 5 five-rupee coins, 8 two-rupee coins and 7 one-rupee coins. If four coins are drawn from the bag at random, then find the odds in favour of the draw yielding the maximum possible amount.",0.713888889,968:969ÿÿÿÿÿÿÿÿÿÿ,0.714583333,969:968,a,quants
364,If a * bÿ =ÿÿa+b / ab find the value of 5 * (5 * -2) :,-3,-10,-1.66,3/5ÿ,b,quants
365," If (a ? b) is 9 more than (c + d) and (a + b) is 3 less than (c ? d), then (a ? c) is:",6,2,3,None of these,c,quants
366,The value of ÿ1 + [1/(8 x 2)] + [1/(8 x 2ý)] + [1/(8 x 2?)] is :,71/64,1 by 16,1 by 4,None of these,a,quants
367,"When simplified, the product (1 ? 1/2) (1 ? 1/3) (1 ? 1/4)?? (1 ? 1/n) gives:",1/n,2/n, 2(n ? 1)/n,2/n(n + 1),a,quants
368,The value ofÿÿ(x ? y)? + (y - z)? + (z ? x)? / 12 (x ? y) (y ? z) (z ? x) ÿis equal to :,0,1 by 12,1,1 by 4,d,quants
369," If a * b = 2a ? 3b + ab, then 5 * 7 + 7 * 5 is equal to:",33ÿÿÿÿÿÿÿÿÿÿ,36,34,38,c,quants
370,"Ifÿ x = a/(a ? 1) and 1/(a ? 1), then:",x is equal to y,x is equal to y only if a < 1, x is greater than y,x is greater than y only if a < 1,c,quants
371,"Ifÿ a, b, c are integers; aý + bý = 45 and bý + cý = 40, then the values of a, b and c respectively are :","2, 6, 3","3, 2, 6"," 5, 4, 3",None of these,d,quants
372, A girl was asked to multiply a certain number by 43. She multiplied it by 34 and got his answer less thanÿ the correct one by 1206. Find the number to be multiplied.,130,132,134,136,c,quants
373,"In a garden, there are 12 rows and 14 columns of mango trees. The distance between two trees is 2 metres and a distance of one metre is left from all sides of the boundary of the garden. The length of the garden is",20m, 22m,24m,26m,d,quants
